tournament,stage,home_team,away_team,home_score,away_score,date,penalty
1930,group stage,France,Mexico,4,1,1930-07-13,0
1930,group stage,United States,Belgium,3,0,1930-07-13,0
1930,group stage,Yugoslavia,Brazil,2,1,1930-07-14,0
1930,group stage,Romania,Peru,3,1,1930-07-14,0
1930,group stage,Argentina,France,1,0,1930-07-15,0
1930,group stage,Chile,Mexico,3,0,1930-07-16,0
1930,group stage,Yugoslavia,Bolivia,4,0,1930-07-17,0
1930,group stage,United States,Paraguay,3,0,1930-07-17,0
1930,group stage,Uruguay,Peru,1,0,1930-07-18,0
1930,group stage,Chile,France,1,0,1930-07-19,0
1930,group stage,Argentina,Mexico,6,3,1930-07-19,0
1930,group stage,Brazil,Bolivia,4,0,1930-07-20,0
1930,group stage,Paraguay,Belgium,1,0,1930-07-20,0
1930,group stage,Uruguay,Romania,4,0,1930-07-21,0
1930,group stage,Argentina,Chile,3,1,1930-07-22,0
1930,semi-finals,Argentina,United States,6,1,1930-07-26,0
1930,semi-finals,Uruguay,Yugoslavia,6,1,1930-07-27,0
1930,final,Uruguay,Argentina,4,2,1930-07-30,0
1934,round of 16,Austria,France,3,2,1934-05-27,0
1934,round of 16,Czechoslovakia,Romania,2,1,1934-05-27,0
1934,round of 16,Germany,Belgium,5,2,1934-05-27,0
1934,round of 16,Hungary,Egypt,4,2,1934-05-27,0
1934,round of 16,Italy,United States,7,1,1934-05-27,0
1934,round of 16,Spain,Brazil,3,1,1934-05-27,0
1934,round of 16,Sweden,Argentina,3,2,1934-05-27,0
1934,round of 16,Switzerland,Netherlands,3,2,1934-05-27,0
1934,quarter-finals,Austria,Hungary,2,1,1934-05-31,0
1934,quarter-finals,Czechoslovakia,Switzerland,3,2,1934-05-31,0
1934,quarter-finals,Germany,Sweden,2,1,1934-05-31,0
1934,quarter-finals,Italy,Spain,1,1,1934-05-31,0
1934,quarter-finals,Italy,Spain,1,0,1934-06-01,0
1934,semi-finals,Czechoslovakia,Germany,3,1,1934-06-03,0
1934,semi-finals,Italy,Austria,1,0,1934-06-03,0
1934,third-place match,Germany,Austria,3,2,1934-06-07,0
1934,final,Italy,Czechoslovakia,2,1,1934-06-10,0
1938,round of 16,Switzerland,Germany,1,1,1938-06-04,0
1938,round of 16,Cuba,Romania,3,3,1938-06-05,0
1938,round of 16,France,Belgium,3,1,1938-06-05,0
1938,round of 16,Hungary,Dutch East Indies,6,0,1938-06-05,0
1938,round of 16,Italy,Norway,2,1,1938-06-05,0
1938,round of 16,Brazil,Poland,6,5,1938-06-05,0
1938,round of 16,Czechoslovakia,Netherlands,3,0,1938-06-05,0
1938,round of 16,Cuba,Romania,2,1,1938-06-09,0
1938,round of 16,Switzerland,Germany,4,2,1938-06-09,0
1938,quarter-finals,Brazil,Czechoslovakia,1,1,1938-06-12,0
1938,quarter-finals,Hungary,Switzerland,2,0,1938-06-12,0
1938,quarter-finals,Italy,France,3,1,1938-06-12,0
1938,quarter-finals,Sweden,Cuba,8,0,1938-06-12,0
1938,quarter-finals,Brazil,Czechoslovakia,2,1,1938-06-14,0
1938,semi-finals,Hungary,Sweden,5,1,1938-06-16,0
1938,semi-finals,Italy,Brazil,2,1,1938-06-16,0
1938,third-place match,Brazil,Sweden,4,2,1938-06-19,0
1938,final,Italy,Hungary,4,2,1938-06-19,0
1950,group stage,Brazil,Mexico,4,0,1950-06-24,0
1950,group stage,Yugoslavia,Switzerland,3,0,1950-06-25,0
1950,group stage,England,Chile,2,0,1950-06-25,0
1950,group stage,Spain,United States,3,1,1950-06-25,0
1950,group stage,Sweden,Italy,3,2,1950-06-25,0
1950,group stage,Brazil,Switzerland,2,2,1950-06-28,0
1950,group stage,Yugoslavia,Mexico,4,1,1950-06-28,0
1950,group stage,Spain,Chile,2,0,1950-06-29,0
1950,group stage,United States,England,1,0,1950-06-29,0
1950,group stage,Sweden,Paraguay,2,2,1950-06-29,0
1950,group stage,Brazil,Yugoslavia,2,0,1950-07-01,0
1950,group stage,Chile,United States,5,2,1950-07-02,0
1950,group stage,Spain,England,1,0,1950-07-02,0
1950,group stage,Italy,Paraguay,2,0,1950-07-02,0
1950,group stage,Uruguay,Bolivia,8,0,1950-07-02,0
1950,group stage,Switzerland,Mexico,2,1,1950-07-02,0
1950,final round,Brazil,Sweden,7,1,1950-07-09,0
1950,final round,Uruguay,Spain,2,2,1950-07-09,0
1950,final round,Brazil,Spain,6,1,1950-07-13,0
1950,final round,Uruguay,Sweden,3,2,1950-07-13,0
1950,final round,Sweden,Spain,3,1,1950-07-16,0
1950,final round,Uruguay,Brazil,2,1,1950-07-16,0
1954,group stage,Brazil,Mexico,5,0,1954-06-16,0
1954,group stage,Yugoslavia,France,1,0,1954-06-16,0
1954,group stage,Austria,Scotland,1,0,1954-06-16,0
1954,group stage,Uruguay,Czechoslovakia,2,0,1954-06-16,0
1954,group stage,Switzerland,Italy,2,1,1954-06-17,0
1954,group stage,Hungary,South Korea,9,0,1954-06-17,0
1954,group stage,West Germany,Turkey,4,1,1954-06-17,0
1954,group stage,England,Belgium,4,4,1954-06-17,0
1954,group stage,Uruguay,Scotland,7,0,1954-06-19,0
1954,group stage,Brazil,Yugoslavia,1,1,1954-06-19,0
1954,group stage,Austria,Czechoslovakia,5,0,1954-06-19,0
1954,group stage,France,Mexico,3,2,1954-06-19,0
1954,group stage,Hungary,West Germany,8,3,1954-06-20,0
1954,group stage,Turkey,South Korea,7,0,1954-06-20,0
1954,group stage,Italy,Belgium,4,1,1954-06-20,0
1954,group stage,England,Switzerland,2,0,1954-06-20,0
1954,group stage,West Germany,Turkey,7,2,1954-06-23,0
1954,group stage,Switzerland,Italy,4,1,1954-06-23,0
1954,quarter-finals,Austria,Switzerland,7,5,1954-06-26,0
1954,quarter-finals,Uruguay,England,4,2,1954-06-26,0
1954,quarter-finals,Hungary,Brazil,4,2,1954-06-27,0
