K,home_advantage,accuracy,log_loss,brier_score,correct,total
30,0,0.7731958762886598,0.7948706174672067,0.46668259144329893,75,97
25,0,0.7628865979381443,0.8111277250202719,0.4776093185567011,74,97
20,0,0.7628865979381443,0.7973467643829867,0.3969674209278351,74,97
5,0,0.7525773195876289,0.8040360802430794,0.47746644505154634,73,97
15,0,0.7525773195876289,0.71176397160485,0.4070851662886598,73,97
40,0,0.7525773195876289,0.7694634658574598,0.4496909979381444,73,97
35,0,0.7525773195876289,0.7811050006732168,0.4574616834020618,73,97
80,50,0.7422680412371134,1.2972445582496126,0.4721322205154639,72,97
75,50,0.7422680412371134,0.7136759862891415,0.422491403298969,72,97
65,50,0.7422680412371134,0.7784670572022215,0.4325349798969072,72,97
55,0,0.7422680412371134,0.7443903182580369,0.43292211340206177,72,97
50,25,0.7422680412371134,0.8006774430234846,0.41516404505154636,72,97
45,0,0.7422680412371134,0.7596309963837785,0.44313143144329903,72,97
10,0,0.7422680412371134,0.7282163661460097,0.43143376134020617,72,97
70,0,0.7319587628865979,0.7782596215339191,0.400935654742268,71,97
70,50,0.7319587628865979,0.7167867245699866,0.4242568124742268,71,97
60,0,0.7319587628865979,0.6993345817674586,0.3962184679381443,71,97
50,0,0.7319587628865979,0.7263524064831314,0.39227724618556703,71,97
45,25,0.7319587628865979,0.7791388534033035,0.41256920855670104,71,97
65,0,0.7216494845360825,0.7035140086970975,0.3959943928865979,70,97
60,50,0.7216494845360825,0.7253889088207657,0.4291768876288659,70,97
60,25,0.7216494845360825,0.6887224465559432,0.40216400927835055,70,97
55,25,0.7216494845360825,0.6858686771038985,0.4026301249484537,70,97
65,25,0.7216494845360825,0.7358826316311391,0.435631230927835,70,97
20,25,0.7216494845360825,0.709423752587672,0.42073041793814436,70,97
80,0,0.711340206185567,0.7223745728394111,0.39831282257731965,69,97
75,0,0.711340206185567,0.7937958257569385,0.40372378886597937,69,97
70,25,0.711340206185567,0.7311002750921982,0.4322933273195876,69,97
70,75,0.711340206185567,0.8333860822106929,0.4610081722680412,69,97
25,25,0.711340206185567,0.6953570974340826,0.4143308249484536,69,97
80,25,0.711340206185567,0.7238469878094592,0.42709414,69,97
80,75,0.711340206185567,1.0329334359106146,0.4795642249484536,69,97
75,75,0.711340206185567,0.8468534029223249,0.4613326031958763,69,97
75,25,0.711340206185567,0.7271053843395681,0.42946987515463914,69,97
35,50,0.711340206185567,0.7226813837833078,0.435603798556701,69,97
45,50,0.711340206185567,0.6917543314051922,0.4192575635051546,69,97
40,25,0.7010309278350515,0.7030654830681546,0.4085929563917526,68,97
35,25,0.7010309278350515,0.6927340116464424,0.41403491443298973,68,97
10,25,0.7010309278350515,1.0199573465453073,0.4776478046391752,68,97
40,50,0.7010309278350515,0.7244522017656291,0.4325396642268041,68,97
